,co2_per_capita,cement_co2_per_capita,coal_co2_per_capita,gas_co2_per_capita,other_industry_co2,oil_co2_per_capita
14931,8.541,0.21,2.821,1.751,43.769,3.609
14932,8.711,0.213,2.89,1.834,44.114,3.622
14933,8.707,0.222,2.87,1.87,45.21,3.594
14934,8.633,0.222,2.776,1.915,44.616,3.569
14935,8.627,0.228,2.808,1.911,45.339,3.523
14937,8.284,0.22,2.631,1.932,43.997,3.35
14938,7.589,0.179,2.312,1.803,35.787,3.168
14939,7.801,0.175,2.429,1.943,38.317,3.119
14940,7.557,0.172,2.469,1.792,40.036,2.984
14941,7.381,0.162,2.459,1.751,37.876,2.875
14942,7.193,0.153,2.389,1.701,38.003,2.811
14943,6.877,0.16,2.3,1.513,38.191,2.768
14944,6.986,0.159,2.288,1.582,37.513,2.823
14945,6.99,0.158,2.173,1.671,37.625,2.854
14946,7.031,0.163,2.138,1.732,38.068,2.862
14947,6.856,0.166,2.024,1.697,38.784,2.832
14948,6.526,0.165,1.661,1.742,37.064,2.827
14949,5.906,0.158,1.373,1.696,34.763,2.558
14950,6.304,0.163,1.558,1.778,37.9,2.681
14951,6.174,0.16,1.59,1.534,37.953,2.765
15194,8.928,0.192,3.513,1.453,43.769,3.62
15195,8.732,0.181,3.314,1.5,43.282,3.589
15196,8.661,0.193,3.239,1.513,45.302,3.564
15211,7.633,0.164,2.252,1.954,39.135,3.134
15212,7.845,0.161,2.36,2.103,41.885,3.087
15213,7.54,0.158,2.391,1.901,43.755,2.951
15214,7.413,0.149,2.441,1.843,41.449,2.849
15215,7.223,0.142,2.367,1.797,41.534,2.781
15216,6.864,0.148,2.233,1.604,41.911,2.742
15217,6.921,0.147,2.174,1.67,40.719,2.797
15218,6.873,0.147,1.987,1.781,40.446,2.827
15219,6.879,0.15,1.938,1.825,41.047,2.834
15220,6.707,0.153,1.826,1.793,41.821,2.802
15221,6.387,0.152,1.492,1.826,40.256,2.788
15222,5.77,0.145,1.238,1.766,37.473,2.504
15223,6.155,0.15,1.401,1.856,40.68,2.627
15224,5.984,0.147,1.42,1.599,40.502,2.699
15710,11.414,0.146,4.438,1.033,1.131,5.547
15711,11.007,0.113,4.266,1.074,0.936,5.347
15712,10.762,0.094,4.101,1.106,0.775,5.286
15713,11.115,0.071,4.619,1.149,0.968,5.054
15714,12.132,0.071,5.423,1.237,1.007,5.189
15715,11.378,0.074,4.827,1.274,0.905,5.01
15716,12.495,0.074,5.807,1.325,1.01,5.079
15717,12.198,0.088,5.544,1.293,0.984,5.061
15718,11.517,0.087,4.602,1.473,0.96,5.156
15719,11.396,0.093,4.459,1.466,1.004,5.173
15720,11.014,0.098,4.247,1.491,0.926,4.988
15721,12.05,0.097,5.036,1.617,1.0,5.097
15722,12.506,0.093,5.443,1.604,1.046,5.154
15723,13.937,0.09,6.717,1.771,0.963,5.165
15724,13.186,0.101,6.052,1.696,0.936,5.147
15725,10.874,0.103,4.009,1.548,0.924,5.024
15726,12.983,0.109,5.997,1.65,1.017,5.023
15727,12.623,0.114,5.738,1.535,0.965,5.038
15728,11.033,0.117,4.455,1.573,0.933,4.694
15729,10.472,0.072,4.288,1.405,0.862,4.531
15730,11.948,0.098,5.433,1.542,0.919,4.685
15731,10.512,0.104,4.469,1.346,0.899,4.41
15732,9.447,0.092,3.619,1.194,0.825,4.372
15733,9.508,0.089,3.927,1.115,0.894,4.199
15734,8.719,0.086,3.538,0.987,0.808,3.944
15735,8.064,0.084,3.073,0.862,0.669,3.902
15736,8.598,0.101,3.395,0.766,0.787,4.174
15737,8.107,0.11,3.102,0.706,0.718,4.033
15738,8.291,0.109,3.249,0.8,0.661,3.997
15739,7.689,0.106,2.763,0.781,0.577,3.923
15740,6.824,0.103,2.147,0.789,0.579,3.667
15741,6.855,0.112,2.294,0.785,0.595,3.544
15742,6.527,0.112,2.303,0.433,0.597,3.558
15925,6.974,0.194,1.425,1.046,5.001,4.145
15926,7.375,0.183,1.517,1.177,4.888,4.333
15927,7.17,0.164,1.37,1.191,4.404,4.29
15928,6.808,0.151,1.105,1.19,4.473,4.21
15929,6.667,0.153,1.079,1.179,4.73,4.095
15930,6.73,0.15,1.095,1.195,4.898,4.128
15931,6.992,0.146,1.132,1.314,4.79,4.237
15932,6.838,0.14,1.058,1.297,5.001,4.179
15933,7.127,0.15,1.226,1.322,5.043,4.267
15934,7.067,0.144,1.136,1.381,4.906,4.252
15935,6.929,0.146,1.118,1.434,4.815,4.077
15936,6.965,0.147,0.949,1.496,4.633,4.223
15937,6.845,0.146,0.985,1.479,4.655,4.091
15938,6.906,0.143,0.99,1.532,4.634,4.098
15939,6.882,0.151,0.968,1.549,4.742,4.071
15940,6.877,0.151,1.025,1.567,4.499,3.996
15941,6.67,0.153,0.976,1.513,4.59,3.883
15942,6.46,0.155,1.0,1.452,4.55,3.706
15943,6.309,0.144,0.909,1.489,4.405,3.618
15944,5.974,0.124,0.726,1.458,3.865,3.531
15945,6.03,0.126,0.785,1.537,4.005,3.452
15946,5.641,0.128,0.67,1.395,4.226,3.318
15947,5.651,0.119,0.741,1.433,4.129,3.241
15948,5.66,0.115,0.781,1.437,4.289,3.212
15949,5.143,0.11,0.62,1.199,4.211,3.1
15950,5.194,0.104,0.595,1.273,4.0,3.115
15951,5.22,0.104,0.56,1.389,3.782,3.063
15952,5.252,0.101,0.621,1.388,3.721,3.041
15953,5.011,0.104,0.545,1.316,4.006,2.938
15954,4.898,0.106,0.456,1.338,3.89,2.9
15955,4.366,0.096,0.37,1.242,3.719,2.568
15956,4.754,0.101,0.471,1.321,4.067,2.771
15957,4.604,0.1,0.433,1.206,4.094,2.775
17193,13.289,0.193,7.17,1.541,10.936,4.199
17194,12.742,0.172,6.316,1.631,10.069,4.452
17195,12.087,0.18,5.664,1.613,9.889,4.463
17196,11.907,0.18,5.346,1.691,9.88,4.525
17197,11.661,0.19,5.17,1.757,10.521,4.374
17198,11.586,0.192,5.005,1.886,10.595,4.335
17199,11.804,0.182,4.928,2.09,10.041,4.441
17200,11.438,0.188,4.751,2.0,10.184,4.335
17201,11.327,0.191,4.63,2.029,10.015,4.316
17202,10.979,0.193,4.415,2.031,10.033,4.179
17203,11.023,0.187,4.579,2.041,10.075,4.056
17204,11.228,0.166,4.619,2.132,9.592,4.157
17205,11.036,0.157,4.614,2.132,9.238,3.983
17206,11.062,0.166,4.666,2.15,9.253,3.93
17207,10.898,0.173,4.626,2.133,9.133,3.817
17208,10.657,0.161,4.473,2.135,8.812,3.743
17209,10.81,0.164,4.553,2.197,8.984,3.747
17210,10.473,0.178,4.673,2.149,9.188,3.323
17211,10.501,0.167,4.386,2.214,9.078,3.586
17212,9.701,0.155,3.912,2.06,7.699,3.448
17213,10.22,0.153,4.222,2.262,8.327,3.448
17214,9.919,0.164,4.233,2.068,8.615,3.314
17215,9.968,0.163,4.29,2.061,8.323,3.32
17216,10.208,0.153,4.369,2.088,8.635,3.459
17217,9.709,0.158,4.213,1.86,8.885,3.339
17218,9.724,0.154,4.155,1.919,8.757,3.361
17219,9.738,0.154,4.001,2.058,8.698,3.39
17220,9.513,0.162,3.761,2.075,8.676,3.382
17221,9.105,0.16,3.567,2.046,8.829,3.203
17222,8.509,0.16,2.888,2.075,8.516,3.26
17223,7.767,0.16,2.383,2.053,8.039,3.053
17224,8.138,0.164,2.785,2.155,8.447,2.911
17225,7.984,0.154,2.907,1.822,8.472,2.977
17559,8.823,0.381,3.739,0.649,0.712,3.988
17560,8.588,0.221,3.824,0.801,0.678,3.68
17561,8.336,0.283,3.945,0.738,0.639,3.311
17562,7.487,0.333,3.417,0.672,0.531,3.015
17563,7.239,0.352,3.243,0.512,0.537,3.083
17564,6.933,0.321,2.771,0.558,0.489,3.237
17565,6.638,0.351,2.195,0.736,0.499,3.309
17566,7.0,0.345,2.433,0.892,0.562,3.277
17567,6.751,0.322,2.337,0.853,0.588,3.182
17568,6.219,0.318,1.691,0.946,0.571,3.21
17569,5.291,0.283,0.964,1.05,0.393,2.956
17570,5.51,0.303,0.886,1.183,0.454,3.094
17571,5.745,0.336,0.891,0.966,0.454,3.509
19137,4.579,0.0,4.41,0.032,1.834,0.134
19138,4.85,0.0,4.662,0.036,1.98,0.147
19139,4.983,0.0,4.799,0.039,2.127,0.14
19140,5.581,0.0,5.359,0.041,2.054,0.178
19141,5.271,0.0,5.036,0.04,1.834,0.191
19142,5.434,0.0,5.186,0.047,2.347,0.195
19143,5.662,0.0,5.395,0.05,2.347,0.213
19144,5.691,0.0,5.415,0.051,2.274,0.221
19145,5.945,0.0,5.659,0.056,2.347,0.225
19146,6.388,0.0,6.062,0.058,2.421,0.263
19147,5.753,0.0,5.418,0.059,2.274,0.272
19148,5.651,0.0,5.306,0.062,2.421,0.278
19149,6.073,0.0,5.696,0.074,2.714,0.298
19150,6.333,0.0,5.919,0.078,2.494,0.331
19151,6.298,0.0,5.863,0.07,2.127,0.362
19152,5.346,0.0,4.883,0.072,2.201,0.387
19153,6.166,0.0,5.618,0.078,2.347,0.465
19154,5.276,0.0,4.715,0.065,1.687,0.493
19155,5.496,0.0,4.853,0.074,2.421,0.564
19156,6.22,0.0,5.459,0.095,2.714,0.66
19157,6.145,0.0,5.383,0.107,2.714,0.649
19158,6.17,0.026,5.332,0.111,3.081,0.696
19159,5.968,0.026,5.121,0.121,3.007,0.695
19160,6.468,0.027,5.525,0.132,2.934,0.779
19161,6.351,0.059,5.349,0.141,2.934,0.797
19162,6.765,0.059,5.658,0.172,2.861,0.871
19163,6.077,0.056,5.055,0.174,2.274,0.788
19164,5.289,0.047,4.351,0.151,1.834,0.737
19165,4.63,0.036,3.767,0.14,1.32,0.685
19166,4.816,0.035,3.885,0.14,1.54,0.754
19167,5.134,0.041,4.162,0.157,1.614,0.772
19168,5.288,0.045,4.243,0.168,1.98,0.829
19169,5.758,0.053,4.608,0.188,2.494,0.905
19170,6.122,0.056,4.844,0.207,2.714,1.011
19171,5.618,0.053,4.404,0.197,2.201,0.961
19172,5.913,0.047,4.664,0.209,2.861,0.988
19173,6.348,0.041,5.037,0.222,3.227,1.043
19174,6.551,0.056,5.202,0.232,4.034,1.055
19175,6.776,0.052,5.46,0.251,4.034,1.007
19176,6.854,0.046,5.448,0.276,4.328,1.078
19177,6.742,0.027,5.204,0.295,4.328,1.209
19178,5.423,0.027,3.828,0.312,3.961,1.25
19179,5.826,0.046,4.133,0.319,3.961,1.322
19180,6.468,0.054,4.573,0.349,4.548,1.486
19181,6.748,0.064,4.675,0.392,4.841,1.61
19182,6.257,0.07,4.219,0.417,4.181,1.544
19183,6.86,0.078,4.526,0.489,4.988,1.697
19184,7.241,0.086,4.664,0.569,5.501,1.852
19185,7.126,0.09,4.439,0.604,5.355,1.92
19186,7.209,0.098,4.386,0.633,6.455,2.021
19187,7.125,0.102,4.199,0.659,5.721,2.103
19188,7.6,0.111,4.429,0.705,6.968,2.285
19189,7.919,0.117,4.558,0.739,7.042,2.426
19190,7.885,0.119,4.466,0.787,6.822,2.439
19191,7.622,0.121,4.095,0.826,6.161,2.519
19192,7.69,0.132,4.006,0.859,8.289,2.636
19193,8.013,0.138,4.118,0.915,8.582,2.786
19194,8.112,0.145,4.082,0.922,8.802,2.908
19195,8.407,0.153,4.128,0.976,9.169,3.1
19196,8.75,0.158,4.242,1.019,9.682,3.277
19197,9.078,0.173,4.268,1.084,10.709,3.48
19198,9.277,0.174,4.192,1.117,11.149,3.72
19199,9.539,0.183,4.127,1.198,12.029,3.954
19200,9.784,0.188,4.054,1.259,11.956,4.178
19201,10.198,0.198,4.031,1.363,12.396,4.498
19202,10.751,0.206,4.084,1.487,13.423,4.836
19203,11.438,0.214,3.964,1.581,13.13,5.531
19204,11.55,0.219,3.755,1.676,13.056,5.735
19205,11.932,0.228,3.635,1.762,13.496,6.123
19206,12.415,0.24,3.737,1.872,14.083,6.355
19207,12.039,0.233,3.678,1.876,14.377,6.054
19208,11.635,0.217,3.61,1.803,12.763,5.837
19209,12.256,0.225,3.762,1.87,13.496,6.207
19210,12.351,0.232,3.751,1.859,13.276,6.327
19211,12.452,0.243,3.712,1.896,13.57,6.421
19212,12.714,0.244,3.93,1.98,13.936,6.396
19213,12.341,0.239,4.009,1.986,12.616,5.952
19214,11.83,0.229,4.027,1.964,12.543,5.5
19215,11.314,0.219,3.95,1.83,9.389,5.22
19216,11.15,0.22,3.99,1.773,9.902,5.083
19217,11.456,0.214,4.142,1.9,10.562,5.134
19218,11.47,0.205,4.293,1.898,10.416,5.015
19219,11.425,0.207,4.217,1.821,9.609,5.132
19220,11.564,0.208,4.291,1.899,10.489,5.118
19221,11.85,0.217,4.358,1.947,11.369,5.282
19222,11.996,0.22,4.342,2.079,11.443,5.309
19759,7.072,0.169,2.546,1.972,1.353,2.207
19760,6.718,0.106,2.418,1.969,0.992,2.086
19761,6.012,0.083,1.991,1.713,0.86,2.1
19762,6.137,0.099,1.985,1.854,0.84,2.08
19763,5.984,0.114,1.806,1.88,0.866,2.053
19764,5.965,0.115,1.781,2.038,0.882,1.921
19765,6.127,0.108,1.831,2.289,0.792,1.798
19766,5.999,0.114,1.781,2.183,0.8,1.823
19767,5.975,0.119,1.675,2.197,0.812,1.888
19768,6.042,0.12,1.717,2.231,0.797,1.88
19769,5.735,0.133,1.615,2.184,0.682,1.718
19770,5.906,0.133,1.562,2.428,0.682,1.701
19771,5.822,0.14,1.54,2.449,0.671,1.613
19772,6.114,0.14,1.597,2.694,0.753,1.594
19773,5.969,0.128,1.533,2.661,0.828,1.553
19774,5.996,0.119,1.35,2.787,0.939,1.636
19775,5.937,0.129,1.354,2.636,0.927,1.715
19776,5.839,0.132,1.352,2.5,0.912,1.754
19777,5.719,0.126,1.303,2.456,0.888,1.728
19778,5.15,0.097,1.118,2.135,0.594,1.723
19779,5.216,0.074,1.169,2.29,0.583,1.606
19780,5.049,0.057,1.201,2.198,0.582,1.516
19781,4.719,0.068,1.155,1.973,0.557,1.452
19782,4.413,0.052,1.027,1.858,0.547,1.405
19783,4.438,0.057,1.032,1.735,0.539,1.546
19784,4.746,0.069,1.068,1.852,0.568,1.686
19785,4.807,0.072,0.995,1.973,0.564,1.695
19786,5.065,0.08,1.026,2.093,0.583,1.792
19787,5.067,0.09,0.966,2.03,0.582,1.906
19788,5.046,0.105,0.838,2.044,0.544,1.989
19789,4.855,0.095,0.763,2.142,0.487,1.787
19790,5.002,0.103,0.615,2.284,0.442,1.94
19791,4.45,0.1,0.499,1.902,0.442,1.89
19932,8.716,0.202,1.106,0.0,0.001,7.162
19933,8.154,0.186,0.95,0.0,0.001,6.743
19934,8.612,0.173,0.93,0.0,0.001,7.247
19935,9.096,0.148,1.129,0.0,0.001,7.492
19936,8.826,0.137,1.1,0.0,0.001,7.321
19937,9.225,0.138,1.106,0.001,0.003,7.661
19938,9.377,0.152,1.045,0.001,0.004,7.863
19939,9.653,0.168,1.179,0.001,0.004,8.044
19940,9.62,0.194,1.037,0.0,0.004,8.07
19942,10.421,0.229,1.655,0.001,0.004,7.979
19943,10.045,0.202,1.76,0.001,0.004,7.565
19944,10.398,0.133,1.782,0.001,0.004,7.958
19945,10.303,0.111,1.761,0.001,0.006,7.941
19947,10.027,0.182,1.631,0.0,0.007,7.792
19948,10.378,0.201,1.694,0.0,0.007,8.043
19956,10.52,0.0,1.908,0.0,0.005,8.037
19958,10.413,0.0,1.966,0.001,0.005,7.986
19959,10.512,0.0,2.017,0.002,0.005,8.051
19960,10.395,0.0,2.026,0.002,0.006,7.907
19961,9.864,0.0,1.896,0.009,0.008,7.485
19962,9.108,0.0,1.821,0.005,0.008,6.784
19963,9.478,0.0,1.962,0.004,0.009,7.014
21115,9.452,0.254,4.206,1.266,0.588,3.558
21116,9.608,0.223,4.099,1.297,0.526,3.838
21117,9.493,0.213,3.901,1.28,0.436,3.975
21118,9.509,0.206,3.722,1.472,0.579,3.946
21119,9.788,0.241,3.528,1.447,0.492,4.433
21120,10.016,0.246,3.539,1.544,0.7,4.492
21121,10.389,0.273,3.625,1.713,0.699,4.584
21122,10.66,0.315,3.354,1.811,0.663,4.998
21123,11.066,0.288,3.233,1.827,0.535,5.573
21124,11.409,0.313,2.766,1.933,0.571,6.233
21134,9.374,0.295,1.912,2.307,0.466,4.756
21135,9.237,0.244,1.862,2.512,0.622,4.481
21136,8.374,0.213,1.829,2.167,0.562,4.042
21137,8.375,0.258,2.108,2.086,0.444,3.825
21138,8.124,0.242,1.904,1.976,0.706,3.848
21139,7.973,0.316,1.871,1.903,0.58,3.758
21140,8.298,0.354,2.004,1.905,0.579,3.911
21141,8.561,0.38,1.952,2.102,0.608,3.997
21142,8.189,0.386,1.649,2.127,0.533,3.914
21143,8.07,0.396,1.314,2.192,0.64,4.034
21144,7.624,0.387,0.928,2.213,0.509,3.992
21145,7.101,0.358,0.76,2.214,0.537,3.661
21461,7.733,0.279,1.226,1.568,4.92,4.502
21462,7.719,0.276,1.161,1.668,5.048,4.454
21463,7.72,0.289,1.022,1.662,5.11,4.588
21464,7.582,0.247,0.916,1.703,5.072,4.553
21465,7.479,0.242,0.963,1.631,4.858,4.485
21466,7.901,0.269,1.027,1.809,4.985,4.637
21467,7.797,0.246,0.941,1.866,4.637,4.595
21468,7.895,0.25,0.951,1.931,4.67,4.61
21469,8.108,0.255,0.964,2.082,4.612,4.657
21470,8.19,0.268,0.947,2.266,4.67,4.572
21471,8.26,0.278,0.984,2.367,4.932,4.487
21472,8.256,0.288,1.036,2.371,5.186,4.418
21473,8.37,0.285,1.051,2.379,5.316,4.512
21474,8.637,0.295,1.134,2.595,5.542,4.458
21475,8.67,0.301,1.248,2.673,5.833,4.301
21476,8.631,0.299,1.224,2.846,5.958,4.115
21477,8.505,0.299,1.211,2.783,5.939,4.066
21478,8.347,0.305,1.202,2.782,5.922,3.915
21479,8.089,0.272,1.151,2.822,5.424,3.709
21480,7.135,0.224,0.88,2.586,3.958,3.341
21481,7.297,0.222,0.973,2.747,4.111,3.246
21482,7.076,0.21,1.09,2.549,4.183,3.114
21483,6.716,0.167,1.112,2.454,3.745,2.878
21484,6.139,0.147,0.958,2.283,3.435,2.649
21485,5.804,0.138,0.926,2.016,3.379,2.627
21486,6.009,0.136,0.881,2.204,3.128,2.693
21487,5.968,0.128,0.803,2.342,3.044,2.608
21488,5.89,0.129,0.697,2.479,3.198,2.493
21489,5.842,0.13,0.655,2.399,3.273,2.566
21490,5.699,0.132,0.51,2.457,3.127,2.501
21491,5.097,0.119,0.372,2.367,2.834,2.157
21492,5.693,0.134,0.413,2.568,3.275,2.492
21493,5.727,0.134,0.559,2.319,3.275,2.628
21807,9.356,0.313,2.577,0.945,11.266,5.428
21808,9.421,0.325,2.568,1.008,10.923,5.431
21809,9.471,0.335,2.515,1.016,10.026,5.523
21810,9.39,0.33,2.551,1.037,9.762,5.392
21811,9.804,0.338,2.607,1.084,9.52,5.697
21812,9.878,0.336,2.679,1.121,9.518,5.661
21813,9.955,0.339,2.743,1.165,9.418,5.629
21814,9.873,0.317,2.781,1.199,9.442,5.497
21815,9.535,0.28,2.597,1.224,8.984,5.359
21816,9.806,0.277,2.735,1.295,9.098,5.424
21817,9.966,0.277,2.941,1.33,9.39,5.34
21818,9.831,0.271,3.006,1.321,9.006,5.158
21819,10.045,0.255,3.135,1.349,8.655,5.235
21820,10.096,0.25,3.235,1.389,8.85,5.148
21821,10.047,0.245,3.293,1.379,9.212,5.054
21822,10.095,0.253,3.371,1.367,9.57,5.026
21823,9.907,0.25,3.346,1.496,9.831,4.734
21824,10.178,0.24,3.48,1.623,10.322,4.75
21825,9.619,0.223,3.331,1.587,9.611,4.398
21826,9.078,0.198,3.214,1.569,8.127,4.03
21827,9.482,0.19,3.485,1.655,9.125,4.077
21828,9.879,0.195,3.366,1.927,8.771,4.318
21829,10.214,0.2,3.523,2.001,8.868,4.416
21830,10.301,0.21,3.772,2.0,9.109,4.244
21831,9.916,0.208,3.713,2.019,9.1,3.901
21832,9.612,0.204,3.664,1.927,8.473,3.748
21833,9.469,0.204,3.598,1.973,8.324,3.624
21834,9.37,0.209,3.623,1.932,8.441,3.537
21835,9.043,0.207,3.502,1.846,8.297,3.417
21836,8.781,0.201,3.438,1.774,7.729,3.303
21837,8.302,0.196,3.188,1.771,7.042,3.089
21838,8.523,0.196,3.435,1.694,7.646,3.135
21839,8.502,0.187,3.447,1.652,7.646,3.151
22161,10.446,0.01,7.103,1.334,1.026,1.635
22162,10.24,0.006,7.057,1.084,1.13,1.727
22163,9.57,0.001,6.468,0.983,1.069,1.731
22164,9.255,0.003,6.019,0.948,1.07,1.866
22165,9.324,0.001,5.976,0.926,1.618,1.911
22166,7.817,0.0,5.414,0.642,1.856,1.246
22167,9.41,0.0,6.293,0.954,1.687,1.587
22168,9.081,0.01,6.157,0.731,2.229,1.518
22169,10.27,0.002,6.254,0.933,3.031,2.292
22170,11.407,0.0,6.949,1.049,3.622,2.529
22171,12.006,0.022,7.31,1.124,3.042,2.631
22172,12.777,0.023,7.294,1.196,4.104,3.27
22173,13.94,0.03,7.58,1.778,4.867,3.474
22174,14.166,0.037,8.151,1.509,4.257,3.429
22175,14.005,0.061,7.762,1.88,4.422,3.216
22176,13.69,0.057,8.339,1.856,3.574,2.377
22188,13.291,0.2,7.734,1.928,4.786,2.58
22189,13.98,0.198,7.872,1.908,4.786,3.162
23547,7.311,0.129,1.045,2.043,0.549,3.891
23548,6.689,0.119,0.916,2.036,0.397,3.469
23549,5.331,0.053,0.812,1.493,0.117,2.928
23550,4.518,0.006,0.756,0.983,0.047,2.755
23551,3.979,0.029,0.583,0.719,0.032,2.635
23552,3.554,0.037,0.432,0.894,0.033,2.178
23553,3.635,0.042,0.41,0.78,0.034,2.39
23554,3.474,0.043,0.377,0.967,0.032,2.074
23555,3.374,0.043,0.286,0.963,0.037,2.068
23556,3.181,0.057,0.222,0.933,0.037,1.954
23557,2.96,0.037,0.238,1.047,0.039,1.622
23558,3.178,0.047,0.223,1.232,0.036,1.662
23559,3.233,0.05,0.187,1.281,0.053,1.692
23560,3.368,0.056,0.169,1.348,0.059,1.769
23561,3.416,0.06,0.142,1.357,0.039,1.839
23562,3.498,0.06,0.162,1.411,0.033,1.85
23563,3.771,0.077,0.173,1.48,0.025,2.03
23564,3.97,0.079,0.208,1.446,0.033,2.221
23565,3.813,0.078,0.205,1.435,0.034,2.08
23566,3.507,0.084,0.17,1.33,0.017,1.915
23567,4.071,0.205,0.217,1.615,0.024,2.023
23568,3.761,0.268,0.213,1.433,0.02,1.838
23569,3.662,0.28,0.195,1.36,0.022,1.817
23570,3.628,0.266,0.148,1.343,0.027,1.857
23571,3.567,0.278,0.121,1.217,0.032,1.935
23572,3.646,0.236,0.095,1.258,0.029,2.042
23573,3.654,0.175,0.084,1.321,0.032,2.057
23574,3.691,0.224,0.086,1.176,0.035,2.188
23575,4.062,0.285,0.102,1.397,0.045,2.256
23576,3.992,0.293,0.087,1.33,0.054,2.254
23577,3.69,0.29,0.052,1.109,0.072,2.201
23578,3.864,0.287,0.041,1.191,0.083,2.3
23579,3.562,0.291,0.041,0.855,0.083,2.329
24761,6.911,0.0,0.003,0.889,0.0,6.019
24762,7.068,0.0,0.003,1.063,0.0,6.002
24763,6.99,0.0,0.004,1.174,0.0,5.812
24764,7.159,0.0,0.003,1.249,0.0,5.906
24765,6.601,0.0,0.002,1.251,0.0,5.347
24766,6.606,0.0,0.002,1.348,0.0,5.256
24767,6.567,0.0,0.002,1.519,0.0,5.046
24768,6.868,0.0,0.002,1.453,0.0,5.413
24769,7.117,0.0,0.002,1.581,0.0,5.534
24770,6.942,0.0,0.001,1.679,0.0,5.262
24771,6.561,0.0,0.002,1.631,0.0,4.927
24772,6.427,0.0,0.001,1.786,0.0,4.639
