HDI rank,location,Human Development Index (HDI) ,,Life expectancy at birth,,Expected years of schooling,,Mean years of schooling,,Gross national income (GNI) per capita,,GNI per capita rank minus HDI rank,,HDI rank
1,Switzerland,0.967,,84.3,,16.6,,13.9,c,69433,,6,,1
2,Norway,0.966,,83.4,,18.6,d,13.1,c,69190,,6,,2
3,Iceland,0.959,,82.8,,19.1,d,13.8,,54688,,16,,4
4,"Hong Kong, China (SAR)",0.956,,84.3,,17.8,,12.3,,62486,,6,,3
5,Denmark,0.952,,81.9,,18.8,d,13,,62019,,6,,8
5,Sweden,0.952,,83.5,,19,d,12.7,c,56996,,10,,5
7,Germany,0.95,,81,,17.3,,14.3,,55340,,11,,7
7,Ireland,0.95,,82.7,,19.1,d,11.7,c,87468,e,-3,,9
9,Singapore,0.949,,84.1,,16.9,,11.9,,88761,e,-6,,10
10,Australia,0.946,,83.6,,21.1,d,12.7,,49257,,14,,5
10,Netherlands,0.946,,82.5,,18.6,d,12.6,,57278,,4,,11
12,Belgium,0.942,,82.3,,18.9,d,12.5,c,53644,,9,,13
12,Finland,0.942,,82.4,,19.2,d,12.9,c,49522,,11,,11
12,Liechtenstein,0.942,,84.7,,15.5,,12.4,f,146673,"e,g",-11,,14
15,United Kingdom,0.94,,82.2,,17.6,,13.4,,46624,,13,,17
16,New Zealand,0.939,,83,,19.7,d,12.9,,43665,,16,,14
17,United Arab Emirates,0.937,,79.2,,17.2,,12.8,,74104,,-11,,17
18,Canada,0.935,,82.8,,16,,13.9,c,48444,,8,,16
19,Korea (Republic of),0.929,,84,,16.5,,12.6,c,46026,,10,,20
20,Luxembourg,0.927,,82.6,,14.2,,13,h,78554,e,-15,,19
20,United States,0.927,,78.2,,16.4,,13.6,,65565,,-11,,21
22,Austria,0.926,,82.4,,16.4,,12.3,c,56530,,-5,,22
22,Slovenia,0.926,,82.1,,17.4,,12.9,c,41587,,13,,24
24,Japan,0.92,,84.8,,15.5,,12.7,,43644,,9,,22
25,Israel,0.915,,82.6,,15,,13.4,c,43588,,9,,26
25,Malta,0.915,,83.7,,15.9,,12.2,,44464,,5,,25
27,Spain,0.911,,83.9,,17.8,,10.6,,40043,,10,,28
28,France,0.91,,83.2,,16,,11.7,c,47379,,-1,,27
29,Cyprus,0.907,,81.9,,16.2,,12.4,,40137,,7,,29
30,Italy,0.906,,84.1,,16.7,,10.7,,44284,,1,,30
31,Estonia,0.899,,79.2,,15.9,,13.5,,37152,,9,,32
32,Czechia,0.895,,78.1,,16.3,,12.9,c,39945,,6,,31
33,Greece,0.893,,80.6,,20,d,11.4,,31382,,20,,33
34,Bahrain,0.888,,79.2,,16.3,,11,,48731,,-9,,34
35,Andorra,0.884,,83.6,,12.8,,11.6,,54233,i,-15,,43
36,Poland,0.881,,77,,15.9,,13.2,,35151,,7,,35
37,Latvia,0.879,,75.9,,16.6,,13.3,c,32083,,13,,39
37,Lithuania,0.879,,74.3,,16.4,,13.5,,38131,,2,,36
39,Croatia,0.878,,79.2,,15.6,,12.3,c,34324,,5,,37
40,Qatar,0.875,,81.6,,13.3,,10.1,c,95944,e,-38,,41
40,Saudi Arabia,0.875,,77.9,,15.2,j,11.3,,50620,,-18,,37
42,Portugal,0.874,,82.2,,16.8,,9.6,,35315,,0,,39
43,San Marino,0.867,,83.4,,12.4,,10.5,k,57687,l,-30,,44
44,Chile,0.86,,79.5,,16.8,,11.1,c,24431,,15,,42
45,Slovakia,0.855,,75.3,,14.7,,13,c,32171,,4,,45
45,Türkiye,0.855,,78.5,,19.7,d,8.8,c,32834,,2,,48
47,Hungary,0.851,,75,,15.1,,12.2,,34196,,-2,,46
48,Argentina,0.849,,76.1,,19,d,11.1,,22048,,17,,47
49,Kuwait,0.847,,80.3,,15.7,c,7.4,c,56729,,-33,,50
50,Montenegro,0.844,,76.8,,15.1,,12.6,c,22513,,12,,49
51,Saint Kitts and Nevis,0.838,,72,,18.4,"d,m",10.8,n,28442,,3,,51
52,Uruguay,0.83,,78,,17.4,,9.1,c,22207,,12,,56
53,Romania,0.827,,74.1,,14.5,,11.4,c,31641,,-1,,52
54,Antigua and Barbuda,0.826,,79.2,,15.5,c,10.5,j,18784,,18,,54
55,Brunei Darussalam,0.823,,74.6,,13.7,,9.2,,59246,,-43,,53
56,Russian Federation,0.821,,70.1,,15.7,c,12.4,,26992,,1,,55
57,Bahamas,0.82,,74.4,,11.9,k,12.7,c,32535,,-9,,67
57,Panama,0.82,,76.8,,13.2,c,10.7,c,32029,,-6,,57
59,Oman,0.819,,73.9,,13,,11.9,,32967,,-13,,58
60,Georgia,0.814,,71.6,,16.7,,12.7,,15952,,19,,59
60,Trinidad and Tobago,0.814,,74.7,,14.1,o,11.7,c,22473,,3,,60
62,Barbados,0.809,,77.7,,16.5,c,9.9,p,14810,,24,,63
63,Malaysia,0.807,,76.3,,12.9,,10.7,c,27295,,-7,,68
64,Costa Rica,0.806,,77.3,,16.1,c,8.8,,20248,,2,,60
65,Serbia,0.805,,74.1,,14.5,,11.5,c,19494,,3,,60
66,Thailand,0.803,,79.7,,15.6,,8.8,c,16887,,10,,69
67,Kazakhstan,0.802,,69.5,,14.8,,12.4,c,22587,,-6,,65
67,Seychelles,0.802,,71.7,,13.9,,11.2,,28386,,-12,,71
69,Belarus,0.801,,73.2,,14,,12.2,c,18425,,5,,65
70,Bulgaria,0.799,,71.5,,13.9,,11.4,,25921,,-12,,70
71,Palau,0.797,,65.4,,17.2,k,13,k,19344,l,-2,,64
72,Mauritius,0.796,,74,,14.6,,10,p,23252,,-12,,72
73,Grenada,0.793,,75.3,,16.6,c,9.9,j,13593,,18,,73
74,Albania,0.789,,76.8,,14.5,,10.1,p,15293,,7,,74
75,China,0.788,,78.6,,15.2,c,8.1,c,18025,,0,,74
76,Armenia,0.786,,73.4,,14.4,,11.3,,15388,,4,,79
77,Mexico,0.781,,74.8,,14.5,,9.2,,19138,,-7,,83
78,Iran (Islamic Republic of),0.78,,74.6,,14.1,,10.7,c,14770,,10,,77
78,Sri Lanka,0.78,,76.6,,13.6,c,11.2,,11899,,24,,76
80,Bosnia and Herzegovina,0.779,,75.3,,13.3,,10.5,,16571,,-3,,77
81,Saint Vincent and the Grenadines,0.772,,69,,16.3,c,11,k,14049,,9,,80
82,Dominican Republic,0.766,,74.2,,13.6,,9.2,c,18653,,-9,,84
83,Ecuador,0.765,,77.9,,14.9,,9,,10693,,25,,90
83,North Macedonia,0.765,,73.9,,13,,10.2,,16396,,-5,,82
85,Cuba,0.764,,78.2,,14.5,,10.5,c,7953,q,40,,92
86,Moldova (Republic of),0.763,,68.6,,14.9,,11.8,c,12964,,8,,81
87,Maldives,0.762,,80.8,,12.2,c,7.8,c,18847,,-16,,88
87,Peru,0.762,,73.4,,14.8,c,10,c,11916,,14,,86
89,Azerbaijan,0.76,,73.5,,12.7,,10.6,c,15018,,-7,,95
89,Brazil,0.76,,73.4,,15.6,,8.3,c,14616,,0,,84
91,Colombia,0.758,,73.7,,14.4,,8.9,,15014,,-8,,89
92,Libya,0.746,,72.2,,14,j,7.8,r,19752,,-25,,90
93,Algeria,0.745,,77.1,,15.5,,7,c,10978,,13,,93
94,Turkmenistan,0.744,,69.4,,13.2,,11.1,c,12860,l,1,,93
95,Guyana,0.742,,66,,13,o,8.6,p,35783,,-54,,105
96,Mongolia,0.741,,72.7,,14.5,c,9.4,,10351,,15,,99
97,Dominica,0.74,,73,,13.6,c,9.2,j,12468,,-1,,97
98,Tonga,0.739,,71.3,,16.3,,10.9,p,6360,l,34,,95
99,Jordan,0.736,,74.2,,12.6,c,10.4,,9295,,15,,98
100,Ukraine,0.734,,68.6,,13.3,,11.1,p,11416,,3,,86
101,Tunisia,0.732,,74.3,,14.6,c,8,c,10297,,11,,101
102,Marshall Islands,0.731,,65.1,,16.4,,12.8,k,6855,,28,,101
102,Paraguay,0.731,,70.5,,13.9,s,8.9,,13161,,-9,,99
104,Fiji,0.729,,68.3,,13.8,,10.4,,11234,,0,,110
105,Egypt,0.728,,70.2,,12.9,,9.8,c,12361,,-8,,103
106,Uzbekistan,0.727,,71.7,,12,,11.9,,8056,,16,,105
107,Viet Nam,0.726,,74.6,,13.1,t,8.5,c,10814,,0,,108
108,Saint Lucia,0.725,,71.3,,12.7,,8.6,c,14778,,-21,,109
109,Lebanon,0.723,,74.4,,12.1,u,8.6,k,12313,v,-11,,104
110,South Africa,0.717,,61.5,,14.3,,11.6,,13186,,-18,,105
111,"Palestine, State of",0.716,,73.4,,13.2,,9.9,,6936,,18,,110
112,Indonesia,0.713,,68.3,,14,c,8.6,,12046,,-12,,113
113,Philippines,0.71,,72.2,,12.8,,9,c,9059,,5,,118
114,Botswana,0.708,,65.9,,11.4,,10.4,,14842,,-29,,124
115,Jamaica,0.706,,70.6,,12.5,c,9.2,c,9695,,-2,,114
116,Samoa,0.702,,72.6,,12.4,,11.4,c,4970,,25,,112
117,Kyrgyzstan,0.701,,70.5,,13,,12,c,4782,,28,,116
118,Belize,0.7,,71,,12.4,,8.8,,9242,,-3,,115
119,Venezuela (Bolivarian Republic of),0.699,,71.1,,13.5,k,9.6,k,6184,w,14,,120
120,Bolivia (Plurinational State of),0.698,,64.9,,15,,9.8,,7988,,3,,119
120,Morocco,0.698,,75,,14.6,,6.1,,7955,,4,,122
122,Nauru,0.696,,64,,12.6,c,9.2,j,14939,,-38,,117
123,Gabon,0.693,,65.7,,12.4,c,9.6,,11194,,-18,,123
124,Suriname,0.69,,70.3,,11,,8.4,c,12310,,-25,,121
125,Bhutan,0.681,,72.2,,13.1,c,5.8,c,10625,v,-15,,125
126,Tajikistan,0.679,,71.3,,10.9,c,11.3,p,4807,,18,,125
127,El Salvador,0.674,,71.5,,11.9,s,7.2,,8886,,-7,,127
128,Iraq,0.673,,71.3,,12.2,t,6.8,p,9092,,-11,,128
129,Bangladesh,0.67,,73.7,,11.9,,7.4,,6511,,2,,130
130,Nicaragua,0.669,,74.6,,12.6,s,7.3,,5427,,4,,129
131,Cabo Verde,0.661,,74.7,,11.5,c,6.1,k,7601,,-4,,132
132,Tuvalu,0.653,,64.9,,12.1,c,10.6,c,4754,,15,,131
133,Equatorial Guinea,0.65,,61.2,,12.1,j,8.3,j,10663,,-24,,133
134,India,0.644,,67.7,,12.6,,6.6,,6951,,-6,,135
135,Micronesia (Federated States of),0.634,,70.9,,12.6,j,7.3,j,3709,,18,,134
136,Guatemala,0.629,,68.7,,10.8,c,5.7,c,8996,,-17,,136
137,Kiribati,0.628,,67.7,,11.8,,9.1,k,3440,,21,,137
138,Honduras,0.624,,70.7,,10,s,7.3,c,5272,,2,,138
139,Lao People's Democratic Republic,0.62,,69,,10.2,,5.9,p,7745,,-13,,140
140,Vanuatu,0.614,,70.5,,11.8,c,7.2,j,3244,,21,,141
141,Sao Tome and Principe,0.613,,68.8,,12.7,o,5.9,c,4054,,8,,143
142,Eswatini (Kingdom of),0.61,,56.4,,14.9,c,5.7,,8392,,-21,,142
142,Namibia,0.61,,58.1,,11.8,x,7.2,p,9200,,-26,,139
144,Myanmar,0.608,,67.3,,12.1,c,6.5,p,4038,,6,,145
145,Ghana,0.602,,63.9,,11.6,,6.4,p,5380,,-10,,144
146,Kenya,0.601,,62.1,,11.4,x,7.7,,4808,,-3,,147
146,Nepal,0.601,,70.5,,12.6,,4.5,c,4026,,5,,149
148,Cambodia,0.6,,69.9,,11.6,k,5.2,,4291,,0,,147
149,Congo,0.593,,63.1,,12.4,c,8.3,p,2903,,14,,146
150,Angola,0.591,,61.9,,12.2,,5.8,x,5328,,-11,,150
151,Cameroon,0.587,,61,,13.4,c,6.5,p,3681,,3,,152
152,Comoros,0.586,,63.7,,13,c,6.2,y,3261,,8,,151
153,Zambia,0.569,,61.8,,11,y,7.3,p,3157,,9,,154
154,Papua New Guinea,0.568,,66,,11.1,x,4.9,p,3710,,-2,,155
155,Timor-Leste,0.566,,69.1,,13.2,x,6,x,1629,,24,,153
156,Solomon Islands,0.562,,70.7,,10.3,c,5.9,j,2273,,14,,155
157,Syrian Arab Republic,0.557,,72.3,,7.4,k,5.7,k,3594,z,-2,,157
158,Haiti,0.552,,63.7,,11.1,j,5.6,p,2802,,6,,158
159,Uganda,0.55,,63.6,,11.5,x,6.2,c,2241,,12,,160
159,Zimbabwe,0.55,,59.4,,11,c,8.8,c,2079,,15,,159
161,Nigeria,0.548,,53.6,,10.5,,7.6,,4755,,-15,,162
161,Rwanda,0.548,,67.1,,11.4,,4.9,,2317,,8,,163
163,Togo,0.547,,61.6,,13,c,5.6,c,2214,,9,,160
164,Mauritania,0.54,,64.7,,8.1,,4.8,p,5344,,-26,,164
164,Pakistan,0.54,,66.4,,7.9,c,4.4,c,5374,,-27,,165
166,Côte d'Ivoire,0.534,,58.9,,10.1,,4.2,p,5376,,-30,,166
167,Tanzania (United Republic of),0.532,,66.8,,8.6,,5.6,c,2578,,-1,,167
168,Lesotho,0.521,,53,,11.1,c,7.5,c,2709,,-3,,168
169,Senegal,0.517,,67.9,,9.1,,2.9,c,3464,,-12,,170
170,Sudan,0.516,,65.6,,8.5,c,3.9,,3515,,-14,,169
171,Djibouti,0.515,,62.9,,8,c,3.9,k,4875,,-29,,170
172,Malawi,0.508,,62.9,,11.5,c,5.2,,1432,,10,,172
173,Benin,0.504,,60,,10.3,,3.1,p,3406,,-14,,173
174,Gambia,0.495,,62.9,,9,x,4.5,,2090,,-1,,174
175,Eritrea,0.493,,66.6,,7.3,c,5.1,j,1957,z,2,,174
176,Ethiopia,0.492,,65.6,,9.9,c,2.4,c,2369,,-8,,176
177,Liberia,0.487,,61.1,,10.5,,5.3,p,1330,,8,,177
177,Madagascar,0.487,,65.2,,9.2,c,4.6,,1464,,4,,177
179,Guinea-Bissau,0.483,,59.9,,10.5,o,3.7,,1880,,-1,,179
180,Congo (Democratic Republic of the),0.481,,59.7,,9.6,c,7.2,p,1080,,9,,180
181,Guinea,0.471,,59,,10.2,c,2.4,c,2404,,-14,,182
182,Afghanistan,0.462,,62.9,,10.7,c,2.5,,1335,z,2,,181
183,Mozambique,0.461,,59.6,,10.7,c,3.9,,1219,,4,,183
184,Sierra Leone,0.458,,60.4,,9,o,3.5,c,1613,,-4,,184
185,Burkina Faso,0.438,,59.8,,8.1,,2.3,c,2037,,-9,,185
186,Yemen,0.424,,63.7,,7.9,k,2.8,r,1106,l,2,,186
187,Burundi,0.42,,62,,10,c,3.3,c,712,,5,,187
188,Mali,0.41,,59.4,,7,c,1.6,,2044,,-13,,188
189,Chad,0.394,,53,,8.2,c,2.3,c,1389,,-6,,189
189,Niger,0.394,,62.1,,7.2,c,1.3,p,1283,,-3,,190
191,Central African Republic,0.387,,54.5,,7.3,c,4,p,869,,0,,191
192,South Sudan,0.381,,55.6,,5.6,c,5.7,aa,691,l,1,,192
193,Somalia,0.38,,56.1,,7.6,j,1.9,,1072,,-3,,..
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,#NAME?,,,,,,,,,,,,,
