country;population;co2;co2_per_capita;gdp;gdp_per_capita;hdi;life_expectancy
Afghanistan;39800000;11741000000;295;53303472000;1339;462;62.9
Albania;2877800;5016005400;1743;36171006000;12569;789;76.8
Algeria;44700000;175536900000;3927;595820000000;13329;745;77.1
Angola;36600000;16543200000;452;158346250000;4326;591;61.9
Argentina;45376763;192306721594;4238;854914300000;18840;849;76.1
Armenia;2963243;6830275115;2305;39721734000;13405;786;73.4
Australia;25687041;384920309385;14985;1344251500000;52332;946;83.6
Austria;8902600;61232082800;6878;398815400000;44798;926;82.4
Azerbaijan;10139177;37261475475;3675;175370550000;17296;760;73.5
Bahrain;1701575;43682833400;25672;58769760000;34538;888;79.2
Bangladesh;166303498;99116884808;596;858143900000;5160;670;73.7
Barbados;287375;1257840375;4377;3408006000;11859;809;77.7
Belarus;9449323;58273974941;6167;175773810000;18602;801;73.2
Belgium;11589623;89101021624;7688;489678400000;42251;942;82.3
Benin;13368198;8435332938;631;33290363000;2490;504;60
Bolivia;11673029;20521184982;1758;78165310000;6696;698;64.9
Bosnia and Herzegovina;3280819;20022838357;6103;47069140000;14347;779;75.3
Botswana;2468000;7006652000;2839;39293970000;15921;708;65.9
Brazil;213993437;480415266065;2245;3187413000000;14895;760;73.4
Bulgaria;6951482;47297883528;6804;138390160000;19908;799;71.5
Burkina Faso;22085800;5808565400;263;37320440000;1690;438;59.8
Burundi;12652218;784437516;62;9177077000;725;420;62
Cambodia;16735818;19915623420;1190;65136595000;3892;600;69.9
Cameroon;26545863;9105231009;343;82727800000;3116;587;61
Canada;38631103;550454586647;14249;1761295600000;45593;935;82.8
Cape Verde;555988;533192492;959;4251154700;7646;661;74.7
Central African Republic;5154455;211332655;41;3752056600;728;387;54.5
Chad;16425864;2201065776;134;24118012000;1468;394;53
Chile;19116209;82276163536;4304;448338100000;23453;860;79.5
China;1444216107;11543619343251;7993;26966017000000;18672;788;78.6
Colombia;50882891;97796916502;1922;742717000000;14597;758;73.7
Comoros;869601;428713293;493;1682077000;1934;586;63.7
Congo;5469015;6808923675;1245;23679010000;4330;593;63.1
Costa Rica;5265092;8018735116;1523;80345900000;15260;806;77.3
Cote d'Ivoire;26780000;11167260000;417;121472000000;4536;534;58.9
Croatia;4105267;17853806183;4349;102284650000;24915;878;79.2
Cuba;11326616;21135465456;1866;84154974000;7430;764;78.2
Cyprus;1207359;6781735503;5617;34255010000;28372;907;81.9
Czechia;10708981;99979046616;9336;342966830000;32026;895;78.1
Democratic Republic of Congo;10890758;392067288;36;91314990000;8385;481;59.7
Denmark;5831404;28807135760;4940;299429000000;51348;952;81.9
Djibouti;1010000;408040000;404;3395681500;3362;515;62.9
Dominica;71991;151613046;2106;675098000;9378;740;73
Dominican Republic;10847904;22834837920;2105;191182370000;17624;766;74.2
Ecuador;17643060;40790754720;2312;175028880000;9921;765;77.9
Egypt;106488523;248437724159;2333;1460427400000;13714;728;70.2
El Salvador;6486200;7893705400;1217;59270935000;9138;674;71.5
Equatorial Guinea;1402985;4252447535;3031;20191380000;14392;650;61.2
Estonia;1326535;10315136160;7776;39999857000;30154;899;79.2
Eswatini;1160164;1221652692;1053;9594911000;8270;610;56.4
Ethiopia;12237922;1896877910;155;269977220000;22061;492;65.6
Finland;5540720;36164279440;6527;226154840000;40817;942;82.4
France;65273511;300519244644;4604;2671568700000;40929;910;83.2
Gabon;2239536;5348011968;2388;36035293000;16091;693;65.7
Gambia;2416669;688750665;285;4656793600;1927;495;62.9
Georgia;3989167;11819901821;2963;70528610000;17680;814;71.6
Germany;83783942;668930992928;7984;3909612700000;46663;950;81
Ghana;31072940;19327368680;622;145431870000;4680;602;63.9
Greece;10423054;59880445230;5745;263892680000;25318;893;80.6
Guatemala;18637910;20054391160;1076;146224640000;7846;629;68.7
Guinea;13132792;4688406744;357;23678257000;1803;471;59
Guinea-Bissau;1968000;305040000;155;3259314000;1656;483;59.9
Haiti;11402533;2405934463;211;17550918000;1539;552;63.7
Honduras;10138298;10847978860;1070;49738256000;4906;624;70.7
Hong Kong;7496981;30602676442;4082;356690500000;47578;956;84.3
Hungary;9660351;42988561950;4450;285385230000;29542;851;75
Iceland;343599;3264190500;9500;16019540000;46623;959;82.8
India;1393409038;2782637848886;1997;10476248000000;7518;644;67.7
Indonesia;276361783;731253277818;2646;3500093500000;12665;713;68.3
Iran;85540819;667132847381;7799;1572209000000;18380;780;74.6
Iraq;40222503;161895574575;4025;527639300000;13118;673;71.3
Ireland;4937786;38124645706;7721;308390920000;62455;950;82.7
Israel;9667000;60022403000;6209;336722560000;34832;915;82.6
Italy;60262770;345124883790;5727;2136009300000;35445;906;84.1
Jamaica;2961167;6795878265;2295;20019225000;6761;706;70.6
Japan;125584838;1067722292676;8502;4774494700000;38018;920;84.8
Jordan;10445800;21204974000;2030;99281830000;9504;736;74.2
Kazakhstan;18776707;262498363860;13980;503634070000;26822;802;69.5
Kenya;54804296;25209976160;460;190362160000;3473;601;62.1
Kuwait;4387263;112217413014;25578;218961230000;49908;847;80.3
Kyrgyzstan;6624190;9439470750;1425;31703001000;4786;701;70.5
Laos;7477371;23030302680;3080;54953902000;7349;620;69
Latvia;1886198;6718637276;3562;51248480000;27170;879;75.9
Lebanon;6825440;29717965760;4354;48741708000;7141;723;74.4
Lesotho;2142249;2911316391;1359;4761723400;2223;521;53
Liberia;5057681;834517365;165;4231561000;837;487;61.1
Libya;6871292;63504480664;9242;91444480000;13308;746;72.2
Lithuania;2722289;12538863134;4606;84814260000;31155;879;74.3
Luxembourg;634814;7375269052;11618;36128360000;56912;927;82.6
Madagascar;27691018;4125961682;149;38602187000;1394;487;65.2
Malawi;19108358;1968160874;103;26465352000;1385;508;62.9
Malaysia;32776185;281121338745;8577;877584200000;26775;807;76.3
Mali;20250833;6318259896;312;30551085000;1509;410;59.4
Malta;514000;1595456000;3104;18295134000;35594;915;83.7
Mauritania;4662000;4461534000;957;15674545000;3362;540;64.7
Mauritius;1265300;4137531000;3270;26988575000;21330;796;74
Mexico;126190788;506656013820;4015;2033437600000;16114;781;74.8
Moldova;2655700;4400494900;1657;23827554000;8972;763;68.6
Mongolia;3330600;37139520600;11151;44809466000;13454;741;72.7
Montenegro;622359;2275344504;3656;12774400000;20526;844;76.8
Morocco;36910560;67398682560;1826;311654970000;8444;698;75
Mozambique;31861897;7742440971;243;31441725000;987;461;59.6
Myanmar;54409800;35094321000;645;291025100000;5349;608;67.3
Namibia;2563700;3948098000;1540;21858732000;8526;610;58.1
Nepal;30485754;15456277278;507;95965910000;3148;601;70.5
Netherlands;17134872;122291581464;7137;879609100000;51334;946;82.5
New Zealand;5084300;31583671600;6212;200602760000;39455;939;83
Nicaragua;6668555;5328175445;799;32764783000;4913;669;74.6
Niger;25827815;3021854355;117;24776755000;959;394;62.1
Nigeria;223724645;131773815905;589;1134448600000;5071;548;53.6
North Macedonia;2083459;7552538875;3625;28770255000;13809;765;73.9
Norway;5421241;40708098669;7509;482328440000;88970;966;83.4
Oman;5240000;82425200000;15730;177355010000;33846;819;73.9
Pakistan;225199937;191194746513;849;1318834900000;5856;540;66.4
Palestine;5140000;3423240000;666;24076503000;4684;716;73.4
Panama;4314767;11645556133;2699;94762120000;21962;820;76.8
Paraguay;7132530;9486264900;1330;65127633000;9131;731;70.5
Peru;32971846;58986632494;1789;341677640000;10363;762;73.4
Philippines;113445000;147591945000;1301;1014811000000;8945;710;72.2
Poland;38386000;311195302000;8107;1231021300000;32070;881;77
Portugal;10196709;41306868159;4051;295712900000;29001;874;82.2
Qatar;2881050;108330361050;37601;381778100000;132514;875;81.6
Romania;19237691;71948964340;3740;504741660000;26237;827;74.1
Russia;145912025;1665877589425;11417;3731440800000;25573;821;70.1
Rwanda;13265672;1485755264;112;28466254000;2146;548;67.1
Saint Lucia;183627;480184605;2615;1749086200;9525;725;71.3
Sao Tome and Principe;219159;127550538;582;825238400;3765;613;68.8
Saudi Arabia;34813871;633508010587;18197;1823886300000;52390;875;77.9
Senegal;16743927;11285406798;674;51913994000;3100;517;67.9
Serbia;8771000;52845275000;6025;116834640000;13321;805;74.1
Seychelles;98462;605541300;6150;3053368000;31011;802;71.7
Sierra Leone;7976983;1044984773;131;11681271000;1464;458;60.4
Singapore;5820000;51867840000;8912;461801130000;79347;949;84.1
Slovakia;5456362;33021902824;6052;150360420000;27557;855;75.3
Slovenia;2100127;12596561746;5998;69385350000;33039;926;82.1
South Africa;60303270;406805859420;6746;723559300000;11999;717;61.5
South Korea;51269185;594671276815;11599;2137558600000;41693;929;84
Spain;46719142;241257649288;5164;1625140000000;34785;911;83.9
Sri Lanka;21803000;17311582000;794;254748600000;11684;780;76.6
Sweden;10353442;37344865294;3607;494214550000;47734;952;83.5
Switzerland;8632700;34945169600;4048;559384950000;64798;967;84.3
Syria;17500657;21858320593;1249;52353140000;2991;557;72.3
Tajikistan;9580000;9637480000;1006;50544010000;5276;679;71.3
Tanzania;63178000;15036364000;238;198220410000;3137;532;66.8
Thailand;71090000;268435840000;3776;1124143700000;15813;803;79.7
Togo;8688000;2528208000;291;14265659000;1642;547;61.6
Trinidad and Tobago;1399480;31381939520;22424;37513384000;26805;814;74.7
Tunisia;11818618;34025801222;2879;129457960000;10954;732;74.3
Turkey;85727600;437639398000;5105;2385996400000;27832;855;78.5
Turkmenistan;6031200;66548260800;11034;97502945000;16166;744;69.4
Uganda;47530000;6036310000;127;101995420000;2146;550;63.6
Ukraine;41674200;148276803600;3558;309166670000;7419;734;68.6
United Arab Emirates;9890400;255498703200;25833;779701500000;78834;937;79.2
United Kingdom;67530100;318742072000;4720;2615230600000;38727;940;82.2
United States;332915073;4977080341350;14950;19493170000000;58553;927;78.2
Uruguay;3477000;8017962000;2306;69066230000;19864;830;78
Uzbekistan;34771800;121110179400;3483;393572450000;11319;727;71.7
Venezuela;28435943;77260457131;2717;149682060000;5264;699;71.1
Vietnam;97338583;340685040500;3500;833803850000;8566;726;74.6
Yemen;33300000;11222100000;337;60852994000;1827;424;63.7
Zambia;18383955;8199243930;446;68469604000;3724;569;61.8
Zimbabwe;14862924;8070567732;543;25901586000;1743;550;59.4